path,label,features_pca_array
s3://p8-data-bastien/Test/Pear Abate/238_100.jpg,Pear Abate,"[-3.39940207e+01 -1.09174899e+01  2.25915782e+01 -1.52280731e+01
 -3.24520681e-01 -6.04932477e+00  3.78997794e-01 -3.99423551e+00
  1.75979931e-02 -8.16876709e-01 -4.24398715e-01 -3.14015277e+00
 -1.75502736e+00 -3.55248141e+00 -6.52987074e+00 -2.56551353e+00
  3.49326942e+00  1.04824564e+01 -4.68833239e-01  3.01203595e+00
 -4.95043049e+00 -6.45328174e+00  3.89804972e+00 -2.16348862e+00
 -3.94897463e+00  1.33358050e+00  1.04015979e+00 -4.28095900e+00
 -4.17199386e+00 -1.15379324e+01  1.83297624e+00  9.37277341e+00
 -4.83722342e-01  5.09401211e+00 -6.61210190e+00 -5.63108711e+00
 -4.15393733e+00 -1.19049075e+00 -1.25869096e+00 -4.93595108e+00
 -4.36936484e+00 -3.56202649e-01  2.92234963e+00  7.38689489e+00
 -4.88001434e-01  4.39313113e+00 -6.76700281e+00  2.49293726e+00
  2.86030685e-01  9.26086477e+00  6.14223705e+00 -4.39557265e-01
  1.13771061e+00  4.08850372e-01 -2.42951957e+00 -2.24314332e-01
  4.11007621e+00 -1.43601445e+00 -2.09716547e+00 -1.58596330e+00
 -2.81158288e+00  6.55903259e-01 -9.05345642e-02  1.16327735e+00
  5.22586779e-01 -1.84154383e+00  2.17470127e+00  6.02127091e-01
 -3.34480176e+00  7.69097099e-01 -1.14448497e+00  1.11976296e+00
  8.85828458e-01  2.81817867e+00 -6.11318623e-02 -1.76842356e+00
  8.82903231e-01  1.86109753e+00  7.08201536e-01 -4.86732585e-01
  5.15181622e-01  1.69178495e+00 -1.21963835e+00  1.10450081e+00
  1.63088828e+00 -1.76234281e+00  7.57178936e-01 -1.24286462e+00
  1.43081062e+00 -1.37740214e+00  2.01654422e+00 -1.34268359e+00
 -1.86212032e+00  2.10244375e+00 -1.68182915e+00  1.31164033e+00
 -2.94588189e+00 -6.85953864e-01 -3.10173598e+00 -1.94810319e-01
 -1.30682061e+00 -3.48423675e-01 -4.23378621e+00 -1.12913926e+00
 -7.12725785e-01  5.00017865e-01 -1.98633865e+00 -2.08337997e-01
 -1.70454053e+00 -8.72434279e-01 -8.37063058e-01  6.99816538e-02
 -2.58302823e+00  8.35615721e-01  3.51759763e-01 -1.91321280e+00
  2.44798943e-01  1.80830103e-01 -1.11931469e+00 -9.23578918e-01
  5.97623408e-01  1.52387695e-01  6.96652008e-01  5.54190667e-01
  1.37549394e-01  1.33096403e-01]"
s3://p8-data-bastien/Test/Plum 3/r_32_100.jpg,Plum 3,"[-8.11161686e-02  3.11608709e+00 -1.86104459e+01 -1.91013764e+01
 -5.13420547e+00  5.09603969e+00 -2.69187121e+00 -5.86603859e+00
 -4.71775369e+00 -7.74712186e+00  6.93123564e-03  5.13360998e+00
 -3.72216638e+00 -4.08039230e+00  1.45078993e+00  2.50712421e+00
 -4.47304313e+00 -2.60906171e+00  5.79697868e+00 -1.94082744e+00
  4.03020027e+00 -3.33949239e+00  6.92496579e+00  7.95432285e-01
  8.88859631e-01 -1.60103372e+00 -5.16751081e+00 -9.56396921e-01
 -2.42006589e+00  3.60864532e+00  1.22362132e+01  4.06698775e+00
 -7.20627784e-01  1.49700672e+00  2.19817265e+00 -2.39931747e+00
 -7.76461098e-01 -2.06295725e+00 -1.42745958e+00 -2.07380952e+00
  2.43022470e+00 -4.54529935e+00 -8.59755725e-01  9.28016174e-01
  4.11360647e+00  1.84700485e+00  3.23261486e-01 -2.86262603e+00
  9.43665541e-03 -2.91329573e+00  1.99463448e-01 -1.38230067e+00
  2.03864178e-01  2.22210221e+00 -2.82301668e+00 -5.62654693e-01
 -1.80976375e+00  1.06915455e+00  3.10226476e+00 -2.88827638e+00
 -3.53545490e+00  4.76880121e-01  2.42554647e+00 -1.48787790e+00
 -2.00613838e+00 -2.04862705e+00  1.77858596e-01 -1.24915196e-01
  9.69159184e-01  2.90710585e+00  4.19313944e+00 -5.90089252e-01
  4.63303395e-01  3.46501976e-01 -2.03182395e+00  2.17632555e+00
 -1.18694179e+00  5.52588471e-01 -1.79214286e+00 -1.25418074e+00
 -1.31145097e+00  3.28263323e+00 -1.65157352e-01 -7.75969300e-01
  2.88238076e-01  8.62476994e-01  2.15121427e+00 -2.13711021e+00
  3.62404852e-01 -1.14869104e+00  1.16820642e+00  4.56978926e-01
  2.31949105e+00 -7.13050763e-02  2.51026051e+00 -1.77467701e+00
  1.31413362e-01  8.85931999e-01  4.58347766e-01  5.50265280e-01
  2.37902826e+00 -5.71606833e-01 -1.21780976e+00 -5.61788838e-01
 -6.09521461e-01 -3.46882651e-01  3.96636094e-01  3.35571482e-01
 -2.48328034e-01 -9.46533279e-01 -7.86643668e-01  2.86928964e-01
 -4.66741955e-01 -2.24495546e-03  6.90541904e-02 -1.94501128e+00
  1.41447674e-01  6.65735106e-01 -3.83926209e-01 -9.70968105e-01
 -2.05329825e-01 -3.69898024e-01  1.20701939e-01 -1.46812008e+00
  4.67151275e-02 -4.89684505e-01]"
s3://p8-data-bastien/Test/Banana Red/r_109_100.jpg,Banana Red,"[-40.16113411  15.65853793 -17.56156258  18.01187851  -3.83306682
  -5.92144605  -1.9860509   -4.95164985   0.18272136   1.75177319
 -10.93197502 -14.25771713  -4.60114089  -5.29642736   0.44850688
   9.01068762   6.03431652   2.9726296    4.53779508   1.36548028
   6.32136279   4.39836701   2.08668027   0.43335301  -4.66461259
   0.89571042  -7.87491043  -5.36582378   7.10315527  -2.49122425
   1.1781863   -0.57172023   0.86116733   1.7263515    0.28766946
   1.71236119  -0.49396928  -0.56413585   0.33424936   0.22687471
   1.6939069   -0.89283419   0.13414968  -0.9410205   -0.86875008
   1.77911638  -0.84728176   0.26872495  -0.04845755   2.21478423
  -3.58327198  -1.78633979  -0.65027867   1.7425421   -1.44645246
   1.08985192   2.74945985  -1.21197257  -0.62049937   2.71408185
  -0.93561223   0.39263102   0.70640432  -0.57405569   0.14607794
  -0.61279306  -0.1947856   -0.56413414   1.47206835  -0.42032101
  -0.4994361    4.46298204  -0.38021282   1.00565529   1.30831208
   2.2880443    0.5457984    1.05455342   0.70648532   2.80520021
  -2.33778677   2.10727356   1.57139317   1.26625083  -0.31160996
  -0.80408629   3.93242418  -1.46749825   1.46429631   0.83339032
  -0.89540799  -2.88964035  -1.8071037    3.55225916   1.66493073
  -2.06481305   1.60740488   1.80929454  -1.30446011  -0.16368595
  -3.05861797   0.32616084   2.71702305  -2.40585441   1.28833931
  -0.4344129   -2.24525805  -2.60416067   1.74216825   0.88375968
   0.20990697   0.4068517   -0.13080486   0.71915233   1.00632198
   0.52694039  -3.05168856  -0.09785837   3.60022705   0.64798434
   1.25871728   1.5589245   -1.52820825  -3.03223278  -1.54084284
  -1.62907009]"
s3://p8-data-bastien/Test/Peach/57_100.jpg,Peach,"[ 5.95308246 -7.22420679  1.65450406  4.44913313 -6.36045924  2.06628803
  3.55811409 -1.91243345  5.87137422 -1.81127847  0.0951468   1.10748678
 -1.89277856  0.09011195 -5.05558861 -1.41320022  0.07330173 -5.04539083
 -0.52648094  3.04413384  3.76657435 -2.09562726 -0.19565563 -0.54900469
 -4.39401253  0.84331332  2.22334604  1.25500828  2.1168473   1.56958956
  1.95729163 -2.10833868  0.21612637 -0.98569733 -0.09822436 -2.76763118
  0.71933441 -0.09506489  2.44913256  3.05456165 -0.38680217  1.08487575
  0.57392779  0.40177404 -0.71085572  0.72626123  0.00987054 -1.09788198
  0.89924964  2.44371875 -1.44597854  1.63203601 -2.24179698 -2.3629127
 -1.80800239  2.03346055  0.50184583  1.90681528 -0.3789651  -0.2428053
  1.04884545  0.04893499  1.94097149  2.15682944  0.83095453 -0.04563573
 -0.01292588  0.44898547  0.53269004 -0.99334105 -1.50525758  0.22682347
  1.51341916 -0.98690279 -1.84325593 -0.92747255  0.91202481  1.14016446
  0.36293742  1.12513916  1.20556946  0.84339644  0.65376676 -0.23861882
 -0.40750377  1.57910204 -0.07727024 -1.14288199  0.67726393 -1.12675881
 -0.84428666  0.90474142 -0.03817885 -0.89302924  0.62560544 -0.40266703
  0.10726865  0.79125069  1.06528941 -0.32364839  0.11653984  1.03393793
 -1.46193094  0.45279847  0.25412691  0.10358722  0.03997366  0.44743907
 -0.35347228  0.0760364   0.33843265  0.10785647  0.00782836 -1.61118638
 -0.57558421 -1.67438396 -0.4503343  -0.13687943 -0.32929662  1.09913791
 -0.81324596 -0.9769755  -0.25019402 -0.30664574  0.19277511  0.21243828]"
s3://p8-data-bastien/Test/Mango/r_84_100.jpg,Mango,"[  3.29100846  -2.96314041 -11.72532976  -5.74497825  -2.73353815
  -1.33972881 -11.93752948   2.72341495  -7.51428092  -5.11229824
  -1.63628888  -2.63294681   8.3285492    4.22671448  -6.98236694
  -5.34639531  -3.08562049   3.34393338   2.72760328   4.84484619
   1.8611226   -0.4353055   -3.43557548   2.66158571   0.50302458
   0.3560305   -0.75882401   4.33073846   1.96561861  -3.68046815
  -4.27365925  -3.16666693   2.92338958  -3.76050195  -7.18606565
   7.06046452   2.05924225  -7.89431145  -0.68755959   3.03348037
   1.49104099  -4.28069931  -0.41704166  -2.45692976   0.28992461
   4.80336377  -3.42694915  -2.20970543  -1.08517632  -1.75448514
   1.55311198   3.97361196   0.11955727  -0.85119414  -0.97728643
   2.45551501   2.80597019   0.97602345  -1.9640747   -1.50002572
  -0.70524255  -0.07410932  -0.030555     1.65524846  -0.07039154
  -0.79842167  -0.33670587   0.13447575   2.63810734  -0.20687961
  -0.0326578   -0.82847453  -1.28859664   0.71038475   0.52272176
  -0.46798757  -0.03570063  -1.30989006   0.33460235   0.43905682
   0.32054534   0.48918723  -0.59904808   0.80925228   1.16731569
   0.3849434    0.87763363   0.3147004   -1.027409     1.19522315
  -1.6634972   -0.74121162  -0.58085585  -0.06304993   1.02238302
  -0.44178894   0.84065659  -1.71813378  -1.26317598   0.33768427
  -0.52314194  -0.28875112  -0.06726625  -1.25207294   0.51836863
  -1.52529315  -0.5112408    1.13366613  -0.78853217   0.11564642
  -0.41953854  -0.4286057    0.40187657  -0.84943499   0.76846514
   0.53112052   0.209396     0.10184886  -0.89872332  -0.86136144
  -1.22482728  -0.16976482  -0.54644476  -0.014372    -0.58702305
   1.27975868]"
s3://p8-data-bastien/Test/Cherry Rainier/r2_125_100.jpg,Cherry Rainier,"[ 7.8738031   7.85840567  7.85957756  3.87574567 -0.87793506  3.1012943
  6.34650674 -3.86782433 -4.77127428  0.71839508 -3.85148999  1.2022909
 -1.15016243  4.43235689  1.49974812  0.04997227 -0.82485211 -3.11777522
  2.96299766  3.64663487 -1.25794744  1.95225909 -0.46477011 -2.98922531
 -1.25768674 -2.75479957 -0.35916606 -1.47366478 -0.30282676 -1.62882741
 -0.62063882  1.51057756  2.42684645  0.90796848 -1.15199682  1.55312325
  0.52837712  1.96056557  0.54696364  1.55042304  1.70094966  2.45437026
  3.36918333 -0.22435344  0.487747    2.63491438  2.97290933  1.27074633
  1.58329862 -0.14253739  0.82241336  2.24047572  0.84742958  3.94168393
 -1.56656811 -1.26895885  0.27153375 -0.87335799  0.01569587 -0.13646716
  0.53395602  0.68161641 -2.11117528 -1.61972459  1.89229954 -2.64450367
 -0.61742628 -1.84582153 -2.82313375  3.33567463  0.8337664  -1.15447421
 -3.50992892 -1.33220936 -1.89737451 -0.37360109  1.1310054  -0.98225395
  0.47827506 -1.82436378  2.01110703 -1.28777767 -1.73981036  1.14756328
 -0.55427144  3.03636847 -1.24850074 -0.93307355 -0.0334398   1.0401733
  0.49414515  0.59823975 -0.55687604  1.59482155  2.00342565 -0.19750275
  1.1920979   2.10944546 -1.52785144 -0.53199205  1.25762258  0.56642371
 -0.28070832 -0.34174438 -0.31093982 -0.9596666  -1.99615793 -0.31404241
 -0.9905433  -0.45702543  1.69541948  0.47315723 -0.72892191 -0.09683188
  0.69423586 -0.96732125  1.56450858  0.83508847 -0.69774375  1.73921841
  1.75085134 -0.96795183 -0.6228339  -0.12474074 -1.08796338  1.3090088 ]"
s3://p8-data-bastien/Test/Cherry Rainier/r2_204_100.jpg,Cherry Rainier,"[ 7.21168364  8.14907642  7.38562106  2.82999071  3.27017663  0.97299746
 10.59458374 -3.07185937 -8.75374646  1.86485599 -4.3884484   2.92242768
 -2.04261435  2.67779765 -0.51786953 -1.20417232 -3.23086943 -0.2863942
  0.26829238  5.04164329 -2.71788497  6.22104545  0.58987263 -0.2379822
 -0.26394968 -8.31515951 -0.59363714 -0.92942004 -0.82376053 -2.96822644
  0.24954436 -4.72425166 -0.04819846 -1.0931767  -0.82690575 -2.31748554
 -3.05590659 -0.82931703 -1.90806384  0.29460308 -0.80163757 -0.08816919
 -1.16186162  0.46835682  1.14839902 -0.91899777 -0.97220668 -0.87201108
 -0.95092864  1.16353561 -0.31895415 -1.81158116  0.54237001  0.04442734
 -2.84471316 -1.98574765 -1.8688575  -1.01268036  0.43760968  0.52160609
  0.07175975  1.32724958  0.8677213  -0.52796146  0.18676289  0.19372141
  0.16305     0.12733682  3.43960465  0.77384089 -2.11692694 -2.09171549
 -0.89441246  0.99053461  0.94118713  0.56411434 -0.51805789 -1.77167104
 -0.05580052  0.69610561  0.69085928 -0.77989075  0.25164696 -1.48168964
 -0.07222595 -0.21258634 -0.32752241 -0.18973003  0.90471503  0.75976799
  0.73643285  0.41015746 -0.60299063 -0.11505258  0.18463806  0.0969586
 -0.52409904 -0.91037488  0.05679101 -0.26637524 -0.58525254 -0.98717646
  0.4813214  -0.46916491  0.78235796  0.24947175  0.47898672  0.28473481
  0.4712501  -0.72698273 -0.40889868  0.8854729  -0.96617586  0.32826147
  0.7798591  -0.15442963 -0.01983202 -0.11051458  0.85264246 -0.22517983
  0.39284878 -0.54800872  0.99500376 -0.11600962  0.67704937  0.9436066 ]"
s3://p8-data-bastien/Test/Kumquats/264_100.jpg,Kumquats,"[ 6.03838227e+00 -7.86402135e+00  3.89703975e+00  6.59831532e+00
  8.38915454e+00  1.14964987e+00  4.32710032e+00 -5.92456799e+00
  5.60282402e+00 -1.02543916e+01 -2.36321174e+00  9.61325766e-01
  1.97080119e+00 -1.41800250e+00 -2.18498109e+00  1.80594541e-01
  4.06185570e+00 -6.82141776e-01 -1.22324027e+00 -5.76351209e+00
 -1.54888908e+00  5.63985468e-01  1.99420042e+00 -7.40450737e-01
  1.43929065e+00 -8.58295088e-01 -4.17053617e+00  2.29374750e+00
 -2.17897857e+00  9.82820453e-01 -2.53247260e+00 -7.35456397e-01
  1.49532679e+00  4.54757663e+00 -1.03417313e+00  3.79322612e+00
 -4.46997753e+00 -1.45589129e+00 -4.98657415e+00  3.10790649e+00
  2.21318123e+00  1.47400113e+00 -1.32130183e+00  1.88732708e+00
 -4.04672224e-01  5.01511680e-01 -2.69686061e-01  9.43724048e-01
 -9.17839702e-01 -4.48045938e-01  4.89246286e-01 -1.21854245e+00
  2.15461649e+00  1.65219695e-02 -1.59723225e+00 -4.92173519e-01
 -4.20844555e-01 -5.98239100e-01  1.29700931e-02  9.66854589e-03
  9.29873885e-01 -1.96793538e-01 -1.83816627e+00  1.01372422e+00
 -7.75548997e-02  7.22119547e-01 -8.75169330e-01  4.93712044e-01
 -4.02972162e-01 -5.15113281e-01  1.46096414e+00 -1.53473786e-02
 -4.95980372e-01  3.76721678e-02 -1.05658584e-01 -1.20697856e-01
  5.43437002e-01 -6.93006134e-02 -9.01295201e-01 -7.38696503e-01
 -3.21124429e-01 -5.87455701e-01 -3.91262049e-02 -5.29093659e-01
 -3.93158602e-01 -9.21072719e-02 -4.14213638e-01  4.62381586e-01
  6.54891220e-01 -1.10725585e+00  4.87896118e-02  1.05939474e-01
  2.09065558e-01  1.50472277e-01 -6.03808397e-01  2.52916935e-01
  9.15089845e-01 -4.01457068e-01  5.01115946e-01  5.77590808e-01
  4.29118890e-01  4.14589942e-01  1.18358000e-01 -2.79439706e-01
  1.05311793e-01  7.18686213e-01 -2.56000457e-01 -8.79513169e-01
  7.15579056e-01  3.51449865e-01  6.54460223e-01 -2.30336635e-01
  6.89781096e-01  4.37786393e-01  1.09721542e+00 -1.77638112e+00
 -5.21530317e-01 -7.12013556e-01  9.98425472e-01  3.37311066e-02
 -1.74816480e-01 -8.15131807e-01  1.74858939e-01  8.71699591e-01
 -2.64750201e-01  1.01015684e+00]"
s3://p8-data-bastien/Test/Cherry Rainier/r_60_100.jpg,Cherry Rainier,"[  3.75140674   6.84523408   3.14574749  -0.66441214   9.26395525
   2.71740299  12.02310161   0.72119769 -15.09616157   8.71256005
   1.81620739   0.13051771  -4.22856123  -9.65769513  -5.73984675
   2.12459681  -3.63058468   0.38597702  -2.19588743  -3.71130807
   5.06434143  -0.29298124  -2.170275     6.05964263   2.21986792
   5.44930812   0.55633289   0.01581279   1.05070112   1.13421037
  -2.07758439   0.29225522   0.97599426  -1.12672406  -1.17176065
   1.094619    -0.22722882  -1.53133833  -2.59333423  -1.44817794
  -3.52281883   0.31280676   0.06673749   2.84763147  -0.83746612
  -2.51205052  -0.75938675  -1.8644286   -5.39566473  -1.53243104
  -1.55736828   3.49845296  -1.39721035   0.34242366  -1.24359625
  -8.25902764   0.62635421   0.61165841   1.85279287  -1.10012707
   2.72395693   1.39654601   2.63399517  -2.11608385   0.1160419
  -2.64232178  -0.13152408  -0.13917442  -0.13745566  -0.65003759
  -0.53128113   2.82004301  -0.15390021  -2.81350406  -2.26789089
  -3.87058758   1.29575446   2.14305229   0.04021094  -0.95419038
   0.10170671  -0.42643899   1.65695005   0.3023092    2.72028899
  -1.27375903   1.69666452  -0.18590538  -1.9273548    0.71147037
  -0.50825421   1.26091215  -0.97174182  -0.19320714   1.45677788
  -0.47121396   1.59919589   1.6581106   -1.71764386   0.62582018
  -1.89127732   0.59539169   2.88301973   0.42149978  -0.94821643
   0.53948823  -0.63967147   2.21890001   3.43588985   1.63577394
   3.01071177   0.5918074   -2.9003632   -0.82769475   1.97423633
  -0.12384414   0.31425243   1.02613077  -0.5371048   -2.35609957
  -1.27233419  -1.18861162  -0.90950371   0.2194173    0.89768017
  -0.19738805]"
s3://p8-data-bastien/Test/Plum 3/161_100.jpg,Plum 3,"[-4.36779486e+00  2.30057673e+00 -2.04534136e+01 -2.16090510e+01
 -2.89655256e+00 -2.14374298e+00  7.45308164e+00 -1.19385748e+00
  2.93778861e+00  8.47774643e-01  7.93676332e-01  8.22486928e-01
 -3.32539686e+00  2.28858973e+00  5.51083269e+00 -3.10376818e+00
  1.08735077e+01  9.82368672e-01 -1.19336394e+01 -4.34479154e+00
 -7.82460112e+00  4.24192118e+00 -4.96314893e+00 -6.09851670e-01
 -6.39008310e+00 -1.52766598e+00 -2.34637416e+00  7.67067271e-01
  8.20228400e-01  2.42529853e+00 -1.36188405e-01  1.66629052e+00
  1.26303084e+00 -6.30865243e+00 -7.14835248e+00 -6.69714445e-01
  8.50749661e-01  1.70132711e+00  6.87169852e-01  1.02658417e+00
  2.18337054e+00 -4.89484528e-01 -2.06539704e+00  5.09259956e+00
  6.14863455e-01  1.30846477e+00 -4.42521675e-01  3.59332691e+00
  2.04072713e+00  2.00520180e-01  2.61278632e+00  1.81256146e+00
 -5.38545572e+00  3.79968157e-01  3.69167144e+00 -2.59663553e+00
  3.99999168e-01 -4.75417398e+00  1.53337493e+00  1.71445763e+00
  7.12085925e+00  3.24549859e-01  7.55631932e-01  2.19812264e+00
 -3.64801045e-01 -1.14658834e+00  7.93576230e-01 -6.04553183e+00
  1.96238823e+00 -3.48761727e-01 -4.19613791e-01 -2.54782778e+00
 -1.08792317e+00 -3.48888498e+00 -2.46783127e+00  1.42353845e+00
 -4.09341206e+00  3.81240926e+00 -1.93254273e+00  1.95826754e-01
 -4.49952509e+00  6.10923545e+00  4.58038293e+00 -5.27461879e+00
 -9.94026517e-01  2.39034487e+00 -1.59028553e+00 -2.60587458e+00
 -1.92176899e+00  6.83308036e-01  2.02548291e+00 -2.67679119e+00
  8.53172208e-01 -1.44602056e+00 -1.65352713e+00 -1.55450372e+00
  5.07260955e-01  1.23481081e+00 -9.68264837e-01  1.56941357e+00
 -6.47352749e-01 -2.10449020e+00 -8.47368256e-01 -2.22753197e-01
 -5.40025776e-01  1.28871202e+00 -1.23318309e+00  1.27844506e-01
 -9.12182831e-01 -3.75438330e-01  6.25030325e-01 -1.43243342e-01
  8.35620480e-01 -6.58428756e-01  1.16271895e+00 -5.24491998e-01
  1.21281706e+00  6.09037020e-03  3.56420402e-01 -8.56239810e-01
  1.00272307e+00 -7.58978688e-01 -7.64445215e-01  9.96897962e-01
 -1.23653598e+00 -2.36730552e-01]"
s3://p8-data-bastien/Test/Banana Red/r_106_100.jpg,Banana Red,"[-4.19422646e+01  1.45589659e+01 -1.55409874e+01  1.51713630e+01
 -5.55834931e+00 -6.73204823e+00 -1.24444558e-01  5.83399724e+00
 -9.10332420e-02  1.90256687e+00 -2.55325304e+01 -9.59215820e+00
 -1.43791967e+00 -6.98875244e+00  8.43353926e-01  8.47887830e+00
  1.68795414e+00 -2.27968264e+00  1.25824346e+00 -3.16823437e+00
  1.16141803e+00 -8.08831343e-01  1.14213616e+00  1.26514168e+00
 -3.88053320e+00 -4.12704343e-01 -2.82841894e+00 -1.47562995e+00
  7.25261129e+00  6.84431855e-01  1.94162165e+00 -1.19838310e+00
  1.29385444e+00  3.04627573e+00 -3.07658260e-02 -1.10119354e+00
 -3.03357779e+00 -2.58126796e+00  2.15773862e+00 -2.57392157e+00
 -2.76058003e+00 -6.15728688e+00 -2.70681884e+00  2.65316234e-01
 -9.49249638e+00  1.06949150e+01  2.18121278e+00  9.54818416e+00
  1.19571687e+00 -2.99311259e+00 -8.32983444e+00 -4.93321854e+00
 -2.60731098e+00  7.89676407e+00  5.19274671e-01 -3.57302208e+00
  1.93864141e+00  2.95123932e+00 -2.53282489e+00  1.39583827e-01
  2.39190798e+00  3.39765032e+00 -3.20371135e-01  1.99711630e+00
  1.30228532e+00  2.44378224e-01 -7.79719627e-01  1.66390990e+00
 -5.36973797e-01 -1.45172468e+00 -1.74594563e+00 -4.65495311e-01
  1.35061826e+00  2.14202489e+00  1.24848155e-01 -2.22014435e+00
  1.19773124e+00 -8.41710549e-01  1.27597900e+00 -1.20272631e+00
 -1.35852273e-01 -1.87964281e+00 -2.13485581e+00 -1.65247953e+00
 -1.69050960e+00  2.05046182e+00 -2.81325263e+00  9.04965792e-01
 -3.65877487e-01 -1.87288131e-01  1.00550014e+00  3.33534823e-01
  3.63342468e+00 -3.02641885e+00  4.89592962e-01  9.48657705e-01
 -7.76032016e-01 -8.29432007e-01  1.55663563e+00  1.35516869e-01
  6.43637049e-01  1.11408098e-02 -1.61147785e+00  4.29095438e-01
 -7.83918777e-02 -6.85347582e-02  1.50578501e-01  1.58168328e+00
 -2.29165811e-01 -7.46301357e-01  9.79213177e-01 -9.29054917e-01
  8.60087823e-01  2.04205742e-01 -5.25124426e-02  5.30043821e-01
  6.02443165e-01  6.99291413e-01 -8.77603332e-01 -9.41427026e-01
 -8.26052548e-02 -1.03971687e+00  1.54235438e+00 -3.13195253e-02
  4.20749245e-01  4.69769611e-01]"
s3://p8-data-bastien/Test/Pomegranate/83_100.jpg,Pomegranate,"[ 8.50526015e+00  1.31922014e-02  5.02169123e+00  7.54746647e+00
 -1.39022999e+01 -2.21633140e+00 -1.61065267e+00  9.42465733e-01
 -5.37243092e-01  8.43787433e-01 -1.60850660e+00 -5.22963701e-01
 -1.25820587e+00  6.09515822e+00  2.02886953e+00  1.99246727e+00
 -8.17403790e-01  3.38183538e+00 -3.06288517e+00  2.08087857e+00
 -2.79443755e+00  6.21492868e-01 -1.74450286e+00  6.74678138e+00
  3.55602053e+00  3.34707167e+00 -8.98539172e-01 -3.82400099e+00
 -2.19130721e+00  1.27711101e+00  1.18968948e+00  9.17203775e-01
  2.53906651e+00  8.56585276e-01  2.02502056e+00 -7.11053729e-01
 -6.82205623e-01 -1.06656530e+00 -1.65553749e+00  1.48122164e+00
 -7.49615181e-01  7.63023406e-01  7.10048018e-01 -6.85768369e-01
 -1.52154556e-01 -3.31002021e-01 -5.83943557e-01  1.43408831e-01
 -2.18665339e-01 -1.13630746e+00 -1.11393460e-01 -7.47125659e-01
  3.49625263e-01 -4.06289664e-01  4.25099873e-01  5.56945381e-02
 -1.02345807e+00  2.54268150e-01  4.63070170e-02 -3.31337905e-01
  4.88638264e-01 -2.21442607e-02  1.62481240e+00  1.69804550e+00
  1.35739913e-01  8.59415735e-01  1.63187098e+00 -1.16077518e-01
  5.68972375e-01 -3.01863873e-01  1.57416012e-01  8.96170948e-01
  8.66751970e-01  3.91288282e-01  1.62242028e+00 -4.50189592e-01
  1.15890337e+00 -1.47859973e+00  1.11499466e+00 -3.51535462e-01
 -6.04750038e-01  4.31834491e-01  2.86499438e+00  1.15267510e+00
  2.10408099e+00  8.14575724e-01  8.25461905e-01 -2.05119008e+00
 -9.12117620e-01  5.72512684e-01 -4.42307759e-01  6.72446982e-01
 -5.26280960e-01 -9.98226678e-01 -2.30057990e-01  1.13732909e-01
  1.18354299e-01 -2.00438540e-01  5.31543674e-01 -1.19279053e+00
 -2.96244628e-02  2.34615417e-01  1.01645428e-01 -1.81237852e-01
 -2.52660385e-01 -6.16402172e-01 -8.86923413e-01  1.94406387e+00
 -1.35934099e+00 -7.55727812e-01 -1.35887912e+00  6.04752688e-01
  1.68348261e+00  2.54130028e-01  9.47909353e-01 -6.05988336e-01
  8.61186337e-01 -1.19320709e+00 -1.25320104e+00 -1.10947070e-01
 -5.45529722e-01  1.57478799e-01 -4.52821501e-01  4.51116293e-01
  2.60289940e-01 -1.11438082e+00]"
